FT   ID   AT   WT   TT
4:28  7  4:8  0:16  4:8
4:30  1  4:0  0:26  4:26
4:42  11  4:14  4:14  0:0
4:42  22  4:32  0:8  4:24
4:43  2  4:2  4:2  0:0
4:43  25  4:36  4:36  0:0
4:43  20  4:30  0:11  4:19
4:45  27  4:39  0:0  4:39
4:45  26  4:37  0:2  4:35
4:45  24  4:34  0:6  4:28
5:11  37  4:57  4:57  0:0
5:12  45  5:8  0:1  5:7
5:13  43  5:6  0:3  5:3
5:15  47  5:10  5:10  0:0
5:15  41  5:2  0:12  5:10
5:27  48  5:12  0:13  5:1
5:30  56  5:23  5:23  0:0
5:31  51  5:15  5:15  0:0
5:41  66  5:33  5:33  0:0
5:41  69  5:39  5:39  0:0
5:42  64  5:32  0:8  5:24
5:45  67  5:35  0:4  5:31
5:46  60  5:27  0:13  5:14
5:47  71  5:43  0:0  5:43
5:55  76  5:51  0:2  5:49
6:3  40  5:1  5:1  0:0
6:10  80  6:0  0:8  6:8
6:11  88  6:10  0:0  6:10
6:13  87  6:8  0:0  6:8
6:13  92  6:10  0:1  6:9
6:27  105  6:23  0:0  6:23
6:28  89  6:10  0:13  6:3
6:29  96  6:15  0:12  6:3
6:49  78  5:55  0:4  5:51
7:4  91  6:10  0:4  6:6
7:19  103  6:21  0:2  6:19
10:51  130  6:52  -4:2  10:50
10:52  313  10:40  0:10  10:30
10:52  213  8:30  -2:20  10:10
10:52  256  9:26  -1:24  10:2
10:52  283  10:5  0:45  10:40
10:52  242  9:5  -1:46  10:41
10:53  196  8:2  -2:48  10:46
10:53  258  9:27  -1:24  10:3
10:53  156  7:18  -3:34  10:16
10:54  128  6:50  -4:0  10:50
10:54  135  6:55  -4:5  10:50
10:54  154  7:14  -3:36  10:22
10:54  251  9:17  -1:33  10:16
10:54  270  9:49  -1:1  10:48
10:54  201  8:9  -2:42  10:33
10:54  214  8:32  -2:20  10:12
10:54  204  8:15  -2:37  10:22
10:54  126  6:47  -4:6  10:41
10:54  215  8:34  -2:19  10:15
10:55  157  7:19  -3:31  10:12
10:55  160  7:23  -3:27  10:4
10:55  291  10:17  0:33  10:16
10:55  146  7:6  -3:45  10:39
10:55  269  9:47  -1:4  10:43
10:55  189  7:55  -3:3  10:52
10:55  134  6:53  -4:0  10:53
10:55  137  6:57  -4:3  10:54
10:55  289  10:14  0:40  10:26
10:55  230  8:53  -2:1  10:52
10:56  199  8:8  -2:42  10:34
10:56  207  8:18  -2:32  10:14
10:56  227  8:50  -2:0  10:50
10:56  186  7:55  -3:5  10:50
10:56  301  10:30  0:20  10:10
10:56  259  9:29  -1:21  10:8
10:56  308  10:38  0:13  10:25
10:56  110  6:28  -4:23  10:5
10:56  118  6:40  -4:11  10:29
10:56  216  8:34  -2:17  10:17
10:56  298  10:27  0:25  10:2
10:56  246  9:10  -1:42  10:32
10:56  179  7:46  -3:7  10:39
10:56  174  7:41  -3:12  10:29
10:56  244  9:6  -1:47  10:41
10:56  285  10:7  0:46  10:39
10:56  211  8:27  -2:27  10:0
10:56  149  7:9  -3:45  10:36
10:56  191  7:59  -3:5  10:54
10:56  120  6:43  -4:12  10:31
10:57  133  6:53  -4:3  10:50
10:57  203  8:13  -2:37  10:24
10:57  226  8:48  -2:2  10:46
10:57  282  10:4  0:48  10:44
10:57  190  7:57  -3:5  10:52
10:57  277  9:57  -1:5  10:52
10:57  114  6:31  -4:22  10:9
10:57  175  7:41  -3:13  10:28
10:57  268  9:45  -1:11  10:34
10:57  176  7:41  -3:15  10:26
11:2  139  6:59  6:59  0:0
11:2  240  9:4  9:4  0:0
11:2  245  9:8  9:8  0:0
11:2  275  9:56  9:56  0:0
11:3  75  5:49  5:49  0:0
11:3  185  7:54  7:54  0:0
11:3  205  8:17  8:17  0:0
11:3  299  10:27  10:27  0:0
11:4  70  5:40  5:40  0:0
11:4  108  6:26  6:26  0:0
11:4  166  7:29  7:29  0:0
11:4  253  9:21  9:21  0:0
11:5  95  6:13  6:13  0:0
11:5  238  9:3  9:3  0:0
11:5  143  7:3  7:3  0:0
11:5  170  7:35  7:35  0:0
11:5  79  5:58  5:58  0:0
11:5  222  8:43  8:43  0:0
11:6  159  7:21  7:21  0:0
11:6  280  10:1  10:1  0:0
11:6  73  5:47  5:47  0:0
11:6  172  7:38  7:38  0:0
11:6  278  9:59  9:59  0:0
11:6  152  7:12  7:12  0:0
11:7  326  10:59  -1:55  11:4
11:7  321  10:55  -1:50  11:5
11:7  132  6:53  6:53  0:0
11:7  279  10:1  10:1  0:0
11:7  165  7:29  7:29  0:0
11:7  72  5:45  5:45  0:0
11:7  94  6:12  6:12  0:0
11:7  97  6:16  6:16  0:0
11:7  237  9:2  9:2  0:0
11:7  252  9:19  9:19  0:0
11:8  322  10:57  -1:52  11:5
11:8  323  10:57  -1:50  11:7
11:8  121  6:43  6:43  0:0
11:8  254  9:23  9:23  0:0
11:8  77  5:53  5:53  0:0
11:8  99  6:19  6:19  0:0
11:8  306  10:36  10:36  0:0
11:8  225  8:46  8:46  0:0
11:8  158  7:21  7:21  0:0
11:8  273  9:53  9:53  0:0
11:8  305  10:34  10:34  0:0
11:8  206  8:18  8:18  0:0
11:10  320  10:53  -1:49  11:4
11:11  324  10:57  -1:48  11:9
11:18  335  11:12  11:12  0:0
11:22  333  11:10  11:10  0:0
11:23  343  11:20  0:1  11:19
11:23  344  11:21  0:1  11:20
11:23  338  11:16  0:6  11:10
11:25  332  11:8  0:13  11:5
11:35  345  11:23  0:10  11:13
11:37  349  11:28  0:6  11:22
11:38  355  11:35  0:0  11:35
11:38  354  11:33  11:33  0:0
11:39  352  11:32  0:4  11:28
11:40  350  11:30  0:5  11:25
11:40  351  11:31  11:31  0:0
11:43  358  11:38  0:0  11:38
11:50  357  11:36  11:36  0:0
11:52  367  11:48  0:2  11:46
11:55  364  11:46  0:7  11:39
11:55  366  11:47  11:47  0:0
11:56  370  11:52  0:0  11:52
11:56  361  11:41  11:41  0:0
11:57  360  11:41  0:6  11:35
11:59  362  11:42  0:11  11:31
12:5  375  12:1  12:1  0:0
12:6  372  11:56  11:56  0:0
12:7  374  11:59  -1:53  12:6
12:9  376  12:2  12:2  0:0
12:14  377  12:3  0:4  12:1
--------------------------------------------------------------------------------
passengers: 756 [ NP: 236, SP: 254, WP: 266]
Buses: 7 [WBus: 2, NBus: 5]
Passenger AVG wait time= 1.99412
Passenger AVG trip time (TT)= 22.0294
Auto-Promoted Passengers: 0%
