FT   ID   AT   WT   TT
4:23  4  4:7  0:15  4:8
4:26  5  4:7  0:15  4:8
4:26  7  4:11  0:12  4:1
4:28  8  4:14  0:7  4:7
4:41  1  4:1  4:1  0:0
4:42  13  4:25  4:25  0:0
4:43  9  4:16  4:16  0:0
4:43  11  4:20  4:20  0:0
4:45  15  4:33  0:9  4:24
4:55  20  4:50  0:2  4:48
4:55  18  4:43  0:11  4:32
4:56  21  4:53  0:0  4:53
4:57  17  4:39  4:39  0:0
5:12  26  5:8  0:1  5:7
5:15  24  5:2  0:12  5:10
5:16  23  4:58  -1:48  5:10
5:21  28  5:13  5:13  0:0
5:25  27  5:10  0:8  5:2
5:25  29  5:17  0:4  5:13
5:36  33  5:32  0:2  5:30
5:37  32  5:29  0:4  5:25
5:37  31  5:24  5:24  0:0
5:46  36  5:42  5:42  0:0
6:16  43  6:11  0:4  6:7
6:21  46  6:14  6:14  0:0
6:27  45  6:14  6:14  0:0
6:41  51  6:31  0:8  6:23
6:46  53  6:37  6:37  0:0
7:4  61  6:55  0:2  6:53
7:6  57  6:50  -1:46  7:4
7:6  59  6:50  -1:45  7:5
7:17  64  7:1  7:1  0:0
7:18  66  7:5  7:5  0:0
7:20  62  6:57  6:57  0:0
7:23  68  7:9  0:10  7:1
7:24  70  7:17  0:4  7:13
7:27  67  7:8  0:11  7:3
7:28  56  6:45  0:6  6:39
8:42  47  6:15  0:0  6:15
9:16  99  8:34  0:6  8:28
9:17  98  8:30  0:11  8:19
9:24  101  8:44  0:4  8:40
9:35  58  6:50  6:50  0:0
9:54  85  7:57  7:57  0:0
10:28  96  8:22  0:18  8:4
10:29  72  7:24  0:5  7:19
10:50  82  7:46  7:46  0:0
11:7  88  7:57  -3:26  10:31
11:8  113  9:15  0:40  9:25
11:8  84  7:52  -3:21  10:31
11:8  106  8:56  -3:49  11:7
11:27  78  7:40  7:40  0:0
11:40  108  9:5  9:5  0:0
11:42  111  9:13  9:13  0:0
12:18  105  8:55  -1:39  9:16
12:41  91  8:7  0:20  8:13
--------------------------------------------------------------------------------
passengers: 230 [ NP: 84, SP: 64, WP: 82]
Buses: 9 [WBus: 4, NBus: 5]
Passenger AVG wait time= 1.875
Passenger AVG trip time (TT)= 16.1071
Auto-Promoted Passengers: 0%
